from,to,relation,year
eotb_2023,mafu,1,2023
eotb_2023,anha,1,2023
eotb_2023,mawi,1,2023
eotb_2023,topi,1,2023
eotb_2023,beja,1,2023
eotb_2023,gewo,1,2023
eotb_2023,mihe,1,2023
eotb_2023,jehn,1,2023
eotb_2023,dobr,1,2023
eotb,eotb_2024,2,2024
eotb_2024,chla,1,2024
eotb_2024,maka,1,2024
eotb_2024,faju,1,2024
eotb_2024,phma,1,2024
eotb_2024,rywo,1,2024
eotb_2024,shto,1,2024
eotb_2024,nasc,1,2024
eotb_2024,siho,1,2024
eotb_2024,ella,1,2024
eotb_2024,nemi,1,2024
eotb_2024,chha,1,2024
eotb_2024,stsc,1,2024
eotb_2024,jogu,1,2024
eotb_2024,jele,1,2024
eotb_2024,alwi,1,2024
eotb_2024,alwin,1,2024
eotb_2024,naba,1,2024
eotb_2024,alsm,1,2024
eotb_2024,pana,1,2024
eotb_2024,edpi,1,2024
eotb_2024,erbe,1,2024
eotb_2024,baco,1,2024
eotb_2024,mikl,1,2024
eotb_2024,jula,1,2024
eotb_2024,uzga,1,2024
eotb_2024,jeac,1,2024
eotb_2024,dobe,1,2024
eotb_2024,abka,1,2024
pro7_sat1,reality_shore,3,99
paramount_plus,germany_shore,3,99
reality_shore,rs_2021,2,2021
rs_2021,beri,1,2021
rs_2021,yamo,1,2021
rs_2021,wado,1,2021
rs_2021,miroc,1,2021
rs_2021,nihu,1,2021
rs_2021,jefi,1,2021
rs_2021,embr,1,2021
rs_2021,nisc,1,2021
rs_2021,jebi,1,2021
rs_2021,dacr,1,2021
rs_2021,gial,1,2021
rs_2021,navi,1,2021
rs_2021,sise,1,2021
rs_2021,anbr,1,2021
rs_2021,cakl,1,2021
rs_2021,meha,1,2021
rs_2021,elmi,1,2021
germany_shore,gs_2022,2,2022
gs_2022,anro,1,2022
gs_2022,beri,1,2022
gs_2022,albe,1,2022
gs_2022,hasu,1,2022
gs_2022,jebi,1,2022
gs_2022,jost,1,2022
gs_2022,veam,1,2022
gs_2022,yamo,1,2022
gs_2022,wado,1,2022
gs_2022,jutk,1,2022
gs_2022,embr,1,2022
gs_2022,emmi,1,2022
gs_2022,miroc,1,2022
gs_2022,dafi,1,2022
gs_2022,peku,1,2022
gs_2022,fapa,1,2022
gs_2022,gewo,1,2022
gs_2022,malu,1,2022
germany_shore,gs_2023,2,2023
gs_2023,aqc,1,2023
gs_2023,boch,1,2023
gs_2023,jebi,1,2023
gs_2023,jost,1,2023
gs_2023,jutk,1,2023
gs_2023,maop,1,2023
gs_2023,maeg,1,2023
gs_2023,misc,1,2023
gs_2023,palj,1,2023
gs_2023,rajs,1,2023
gs_2023,sefe,1,2023
gs_2023,tope,1,2023
gs_2023,wado,1,2023
gs_2023,nuel,1,2023
gs_2023,hasu,1,2023
gs_2023,jefi,1,2023
gs_2023,marh,1,2023
gs_2023,papa,1,2023
gs_2023,beri,1,2023
gs_2023,eito,1,2023
gs_2023,nahe,1,2023
rtl,ba_f,3,99
ba_f,ba_f_2020,2,2020
ba_f,ba_f_2021,2,2021
ba_f,ba_f_2022,2,2022
ba_f,ba_f_2023,2,2023
ba_f,ba_f_2024,2,2024
ba_f_2020,meda,1,2020
ba_f_2020,chmo,1,2020
ba_f_2020,sehu,1,2020
ba_f_2020,roen,1,2020
ba_f_2020,lesa,1,2020
ba_f_2020,dagi,1,2020
ba_f_2020,alge,1,2020
ba_f_2020,emoz,1,2020
ba_f_2020,masch,1,2020
ba_f_2020,loam,1,2020
ba_f_2020,flsz,1,2020
ba_f_2020,daba,1,2020
ba_f_2020,algo,1,2020
ba_f_2020,pako,1,2020
ba_f_2020,daml,1,2020
ba_f_2020,anbi,1,2020
ba_f_2020,adpe,1,2020
ba_f_2020,daha,1,2020
ba_f_2020,sepa,1,2020
ba_f_2020,mobr,1,2020
ba_f_2020,magr,1,2020
ba_f_2021,mahe,1,2021
ba_f_2021,ziba,1,2021
ba_f_2021,rafa,1,2021
ba_f_2021,daca,1,2021
ba_f_2021,tolu,1,2021
ba_f_2021,nibi,1,2021
ba_f_2021,juda,1,2021
ba_f_2021,maad,1,2021
ba_f_2021,lekn,1,2021
ba_f_2021,roja,1,2021
ba_f_2021,mawit,1,2021
ba_f_2021,niul,1,2021
ba_f_2021,keul,1,2021
ba_f_2021,made,1,2021
ba_f_2021,lama,1,2021
ba_f_2021,keen,1,2021
ba_f_2021,jost,1,2021
ba_f_2021,helu,1,2021
ba_f_2021,bepf,1,2021
ba_f_2021,guma,1,2021
ba_f_2021,dobo,1,2021
ba_f_2022,shba,1,2022
ba_f_2022,alcho,1,2022
ba_f_2022,bacor,1,2022
ba_f_2022,defe,1,2022
ba_f_2022,emwe,1,2022
ba_f_2022,hamu,1,2022
ba_f_2022,jaho,1,2022
ba_f_2022,luba,1,2022
ba_f_2022,mafu,1,2022
ba_f_2022,mawi,1,2022
ba_f_2022,moai,1,2022
ba_f_2022,mokr,1,2022
ba_f_2022,pani,1,2022
